brand,discounted_price,product_name,retail_price,uniq_id
D'SIGNER,8545,"D'SIGNER 688RGM _BRN Analog Watch  - For Men, Boys",8995,69ca41aae61c7b5fecd53ea08fba3226
Salt,2050,Salt N Pepper 13-019 Femme Taupe Boots Boots,4195,2385354f771d9e50ab86ec2425a3873b
Franck,999,"Franck Bella FB127A Analog Watch  - For Boys, Men",1250,fda50982a672ef8835de5c1cc86f8bfc
Get,499,Get Glamr Stylish Boots,1999,88894166380fea0ef00618c9fe64154c
Felix,555,"Felix 3541 W-S METAL Analog Watch  - For Boys, Girls",1350,4131687c6dd5e3689c56e604e2992027
Steppings,719,Steppings Trendy Boots,1799,f1c0ff9c0a038fe4164bb013a80de8ad
Steppings,2559,Steppings Boots Boots,3199,00c252ee9259c6d6257c87a6ac865313
Skmei,999,"Skmei DG0939-Red Sports Digital Watch  - For Men, Boys",1499,4788f5466992da09024b8ffcc8a5cba4
Do,699,Do Bhai Boots,799,7865f023074a017c3f4f60ca8c4c3967
Vizion,595,"Vizion 8502-4BLUE Sports Series Digital Watch  - For Boys, Girls",1095,a6456e9e8f9a8ceaa2d68eee7a94c87d
Steppings,2559,Steppings Boots Boots,3199,85482436ae7de663ba0950110a3ba510
Steppings,2099,Steppings Trendy Boots,3499,6712cb52a608a7cade6569880dc3f5b7
Sam,449,Sam Stefy Boots,1050,2a342edc6ce89cb5c6892be8c78c1af1
TEN,1895,TEN TEN Women's Tan Mid Length Boots Boots,4495,de9c564d1a29a3dc35754bceb9f8baa8
Remson,1999,Remson India Boots,3999,fce3d01210868fa4f281b0e55d40b7a0
Get,499,Get Glamr Dazzle Boots,3499,fe0641da3a28bc42a1cc7dbf45178644
Jack,262,"Jack Klein Goldjack Analog Watch  - For Boys, Men",1999,f5b56b74cab686a72d10d5fd212fb81e
Dearfoams,1820,Dearfoams Boots,1820,a16cc763817964b2c77e56ecd218a6e8
fastrack,2495,"fastrack 38015PL01 Analog Watch  - For Men, Boys",2495,653826cd53f1d9e2c086c0ac7846ef70
Kielz,1299,Kielz Ladies Boots,2799,b79ed9e338cf028d849dae39f6c39ea7
A,1249,"A Avon PK_504 Analog Watch  - For Men, Boys",2499,a5c993463f503760919728797dfbc83d
Kielz,999,Kielz Ladies Boots,1999,be0aa17665e9a27ef1ab0ce134e6aee5
Franck,1039,"Franck Bella FB0122DD Analog Watch  - For Men, Boys",1299,22f01c289c956a7d29b15ea99d199963
Catwalk,999,Catwalk Boots,2095,e0f0808a8985bf1de9449f7ff544bab6
Rialto,2395,Rialto Boots,3295,a51bbd403085e6558f8c279322d58997
Salt,2150,Salt N Pepper 12-298 Taupe Boots,4395,fc69831b78bfcc3eb4bdd3afa1c9bdaf
Alfajr,7495,"Alfajr WQ18 Qibla Compass Digital Watch  - For Men, Boys, Girls",8995,3c74db45cbfc14a78b8466dca494b3bb
Magnum,3199,Magnum Footwear Lifestyle Boots,5999,d6a4b62067d04cab8397e76e01656d0a
Steppings,2519,Steppings Trendy Boots,3599,5f9f896bbba455cd8a5783568845b370
