,brand,discounted_price,product_name,retail_price,uniq_id
660,NOD,1999.0,NOD Casual Full Sleeve Solid Women's Top,1999.0,ba5fa84317fd6b48465a879af3c376a6
661,Besiva,699.0,Besiva Casual Full Sleeve Solid Women's Top,699.0,bc8b093201ea2bb2b6e24d63a76f96d7
662,Imagination,699.0,Imagination Casual Full Sleeve Solid Women's Top,999.0,3e5a52de3377512876174ee9ab7d5b20
663,Cation,600.0,Cation Casual Short Sleeve Solid Women's Top,1400.0,7c12784242b3c349c32628e079253d6b
664,Cation,769.0,Cation Casual 3/4 Sleeve Solid Women's Top,1099.0,f5d884e578de68e5a3790ec9df9d1a8b
665,Yna,299.0,Yna Wayfarer Sunglasses,1199.0,29dd1af4ef66a2fe6498fd707b0d03d8
666,TeeMoods,600.0,TeeMoods Casual Short Sleeve Solid Women's Top,999.0,6a99eb349d9e1250756e8dd09548ad84
667,TeeMoods,600.0,TeeMoods Casual Short Sleeve Solid Women's Top,999.0,57016d9764f932d0a38e71ce52de343d
668,TeeMoods,499.0,TeeMoods Casual Full Sleeve Solid Women's Top,999.0,3496cb22c0fcb484829c54b163016dfd
669,Karatcraft,28011.0,Karatcraft Triniya Promise Gold Diamond 18 K Ring,44019.0,b727abd90818f60f3028b58f1a007583
670,Aaliya,700.0,Aaliya Casual Sleeveless Solid Women's Top,1400.0,133b7b5ea91e8eea4150ae5974ed4c92
671,Karatcraft,33298.0,Karatcraft Citra Engagement Gold Diamond 18 K Ring,46772.0,9b54a3ceb6e05a2147bc62b4f6ae005d
672,Cation,499.0,Cation Casual Short Sleeve Solid Women's Top,899.0,1d20306d6543ec62a712b16b671e6e7e
673,Cation,499.0,Cation Casual Short Sleeve Solid Women's Top,1200.0,2887c3b4980bc67268ac024b5b39705b
674,Cation,499.0,Cation Casual 3/4 Sleeve Solid Women's Top,1400.0,c55dad5c900f887fd241c2e2d00cd473
675,Cation,499.0,Cation Casual 3/4 Sleeve Solid Women's Top,899.0,59b32ba347f63e845c482a0ec8b3b1c4
676,Cation,799.0,"Cation Casual Short Sleeve, Sleeveless Solid Women's Top",2200.0,7e6b96082504a33872b8c788af55f16e
677,Cation,899.0,Cation Casual Sleeveless Solid Women's Top,899.0,599ec862d1ecde88b5ea51a33c108ff0
678,Paprika,499.0,Paprika Party Sleeveless Solid Women's Top,799.0,f515aa1c0ed6194d2bcf8c2f56e1464a
679,Yepme,199.0,Yepme Women Flats,399.0,c8e336c579b22b44e63e894f205b33fc
680,Karatcraft,35698.0,Karatcraft Sima Gold Diamond 18 K Ring,49999.0,3e400027ddcac20b1183f128b1cfc0d4
681,Stilestreet,449.0,Stilestreet Casual Short Sleeve Solid Women's Top,699.0,a168986bfc2d74e444f2cfd48ad9ed9a
682,Gag,349.0,Gag Wear Casual Short Sleeve Solid Women's Top,699.0,e63fb0a943059a30ca90456b19eee4dd
683,Karatcraft,33702.0,Karatcraft Ailey Band Gold Diamond 18 K Ring,47049.0,61f38a08e8d1affb22245cdaa5c6cad0
684,Karatcraft,38964.0,Karatcraft Clariz Gold Diamond 18 K Ring,42860.0,f7222ee360602c96227022af161fe5ec
685,Foot,799.0,Foot Candy Women Heels,1599.0,20c5be2abcd74be04a2584c895cec340
686,Foot,899.0,Foot Candy Women Heels,1799.0,384ad3e62d1471adafe54e85543e85df
687,Foot,799.0,Foot Candy Women Heels,1599.0,2321bb85c54d1ae91c5bb10a083e6660
688,Foot,799.0,Foot Candy Women Heels,1599.0,9baa16446b6494eae2919a8c7b9220aa
689,Kiara Jewellery,1537.0,Kiara Jewellery Sterling Silver Cubic Zirconia Rhodium Ring,3075.0,70cd878c2be2eb4e7bfa2f18daa0f1ef
690,Kiara Jewellery,1375.0,Kiara Jewellery Sterling Silver Cubic Zirconia Rhodium Ring,2875.0,40c45482a05d3eef913036c89a1f3427
691,Kiara Jewellery,1925.0,Kiara Jewellery Sterling Silver Cubic Zirconia Rhodium Ring,3425.0,8dbfb1fb78e6db6bb67a7b9c4649d17f
692,Kiara Jewellery,1975.0,Kiara Jewellery Sterling Silver Cubic Zirconia Rhodium Ring,3475.0,5a781fe928da9165f5da889503ebe853
693,Kiara Jewellery,1637.0,Kiara Jewellery Sterling Silver Cubic Zirconia Rhodium Ring,3275.0,b9c723fdcc86356d102339c7ffc41055
694,Kiara Jewellery,1375.0,Kiara Jewellery Sterling Silver Cubic Zirconia Rhodium Ring,3875.0,be2cb95ab169297be3a0adc439e42fb9
695,Kiara Jewellery,1733.0,Kiara Jewellery KIR0344 Silver Cubic Zirconia Rhodium Ring,3467.0,6c9949a1ca73a940778bac9f2beeef58
696,Kiara Jewellery,2125.0,Kiara Jewellery Sterling Silver Cubic Zirconia Rhodium Ring,3625.0,75c1d1c174fc70fcef5d92dc360ec92b
697,Navaksha,756.0,Navaksha Necktie Men's  Combo,1550.0,f15f04c98946ca36fad8883c8da43053
698,Navaksha,756.0,Navaksha Necktie Men's  Combo,1550.0,9c66882317b0fc9d9f8bd1e2d23e2ad5
699,Navaksha,756.0,Navaksha Necktie Men's  Combo,1550.0,126d99e88257445b088146b007050b32
700,Navaksha,756.0,Navaksha Necktie Men's  Combo,1550.0,db7c6c1297417d1b95eb80c4964a864e
701,Navaksha,756.0,Navaksha Necktie Men's  Combo,1550.0,ea5c5e50d59cb572e58b04cec34c39f5
702,Navaksha,756.0,Navaksha Necktie Men's  Combo,1550.0,4303e3770302e864fd67d6d04e99a26c
703,Navaksha,756.0,Navaksha Necktie Men's  Combo,1550.0,4a71673117183aaf8103664c01ec9a1a
704,Navaksha,756.0,Navaksha Necktie Men's  Combo,1550.0,ea1e44f7f0ac1cef3640decbb6322ca0
705,Navaksha,756.0,Navaksha Necktie Men's  Combo,1550.0,352e55533f6c9a60f557ad60a5b0c0ff
706,Navaksha,756.0,Navaksha Necktie Men's  Combo,1550.0,4014a9c185df3d9b65ad170f547d9377
707,Navaksha,756.0,Navaksha Necktie Men's  Combo,1550.0,944dfafe16ad165a72cd684ad9cba678
708,Navaksha,756.0,Navaksha Necktie Men's  Combo,1550.0,025c55296e7b63788739d5ed370723d7
709,C&S,499.0,C&S Shopping Gallery Women's Leggings,1199.0,1267e34b120cde4293237bee35975ff9
710,Riva Carpets,1899.0,Riva Carpets Cotton Free Bath Mat Classic Shag Bathmat-RI-04,1899.0,877b59a64f4b2288425931c884f607aa
711,Riva Carpets,1799.0,Riva Carpets Cotton Free Bath Mat Classic Loop Shag Bathmat_RI-527,1799.0,81e739c7f3be737152f2e6f520e3494b
712,Riva Carpets,1899.0,Riva Carpets Cotton Free Bath Mat Classic Shag Bathmat-RI-04,1899.0,fbba1f130000682656d3ac66bfae072c
713,Riva Carpets,1899.0,Riva Carpets Cotton Free Bath Mat Classic Shag Bathmat-RI-04,1899.0,dc5f088273a913134e4c7d15d009c8a6
714,Riva Carpets,1899.0,Riva Carpets Cotton Free Bath Mat Classic Shag Bathmat-RI-04,1899.0,d53a2c803e5fc6ddc8a5384e6111b91d
715,Karatcraft,31471.0,Karatcraft Klytie Gold Diamond 18 K Ring,48043.0,2edcb829fb3f0702615e8d4270235deb
716,Lamere,779.0,Lamere Women Flats,1299.0,6ff3109cc1de5200d2ab0e06bacde04f
717,Karatcraft,33519.0,Karatcraft Klytie Gold Diamond 18 K Ring,49999.0,6ae1c64b28ae8298bb155068232b3c12
718,Karatcraft,33607.0,Karatcraft Robini Emerald Gold Diamond 18 K Ring,49999.0,9292d758951e0050b410bb51b03e721a
719,Karatcraft,33761.0,Karatcraft Trilic Gold Diamond 18 K Ring,49999.0,9d9bd8488bf09dc468ecf58f7caeeaf0
720,Allure,1899.0,Allure Silver Amethyst Sterling Silver Ring,3130.0,f6f28cfa042d7fb564e2a6c62760112c
721,Kiara Jewellery,1589.0,Kiara Jewellery Sterling Silver Swarovski Crystal Yellow Gold Ring,3178.0,5a0408649bf1d156cc1b763be5ec8f1f
722,Kiara Jewellery,1225.0,Kiara Jewellery Sterling Silver Cubic Zirconia Rhodium Ring,3225.0,9fd2b967d3c7a8debf8bf8fb77847351
723,CurVy,445.0,CurVy Q Casual Butterfly Sleeve Solid Women's Top,799.0,70f4570e942899b2b4def93b67321ff8
724,Karatcraft,30409.0,Karatcraft Clariz Gold Diamond 18 K Ring,44445.0,fbcceb69597b8ae69d48d9a033dd844d
725,Kiara Jewellery,1475.0,Kiara Jewellery Sterling Silver Cubic Zirconia Rhodium Ring,2975.0,5facbe71a7c5defeeabc2901dee671b8
726,Kiara Jewellery,1475.0,Kiara Jewellery Sterling Silver Cubic Zirconia Rhodium Ring,2975.0,097251ca8fc02b1d9be1c40a7fdbbfe3
727,Kiara Jewellery,1109.0,Kiara Jewellery Sterling Silver Cubic Zirconia Rhodium Ring,2609.0,03a31774187476356680979e32e3969b
728,Majori,850.0,"Majori Casual, Festive, Party Short Sleeve Floral Print Women's Top",850.0,87efad69baba6384d38b13648cf8b4dc
729,Uptownie,389.0,Uptownie Lite Party Short Sleeve Floral Print Women's Top,999.0,2b37bf60b75fb7ec968d1ab94d35a10c
730,Zastraa,1099.0,Zastraa Party Full Sleeve Embroidered Women's Top,2299.0,48014597cc7dee0cc7769dbba03fa2b3
731,Karatcraft,12183.0,Karatcraft Musimi Gold Diamond 18 K Ring,23356.0,da4aa693ca4c70eef8e72d67207ffa31
732,Navaksha,756.0,Navaksha Necktie Men's  Combo,1550.0,9a68441d31cf70997c55ce65d514d7d7
733,Navaksha,756.0,Navaksha Necktie Men's  Combo,1550.0,fa0898bc709905a726ce71e0f6dae058
734,Posto,1499.0,Posto Necktie Men's  Combo,3499.0,092f14804c456576db0b39f32d6ce0f6
735,G-Luck,3200.0,G-Luck Silver Turquoise NA K Ring,3680.0,65e8b8203be48fd6fbd9eb07a419751c
736,G-Luck,4250.0,G-Luck Silver Turquoise NA K Ring,4888.0,16f09cceec93d69b98502bf14bc04a81
737,G-Luck,3250.0,G-Luck Silver Turquoise NA K Ring,3738.0,0e1b28db5c5086e84107cc2c78929020
738,FabAlley,900.0,FabAlley Casual Short Sleeve Solid Women's Top,900.0,cc0dab5ec279a78859467d3ce8fd7cfb
739,Navaksha,756.0,Navaksha Necktie Men's  Combo,1550.0,2109fd9dc8e69ecc0100a611b85fdae6
740,FabAlley,650.0,FabAlley Casual Sleeveless Solid Women's Top,650.0,6966c2922f11086e7dcd81fbb582d5cf
741,Navaksha,756.0,Navaksha Necktie Men's  Combo,1550.0,eaa541fcf342ab812f979b2b025b2c0a
742,Navaksha,756.0,Navaksha Necktie Men's  Combo,1550.0,c663f3617ff1843e58f775a8d46152c5
743,Navaksha,756.0,Navaksha Necktie Men's  Combo,1550.0,da8b264f0629ef820cffb67ab4d00de3
744,FabAlley,750.0,FabAlley Casual Short Sleeve Solid Women's Top,750.0,d1cb83df3c4739bd22036e03e2382b9b
745,Navaksha,756.0,Navaksha Necktie Men's  Combo,1550.0,4b968d5a59886f6e6651edcf8cf6c7a2
746,Navaksha,756.0,Navaksha Necktie Men's  Combo,1550.0,7d8c4f554e00771212f7d230d6dee467
747,Navaksha,756.0,Navaksha Necktie Men's  Combo,1550.0,492ffd01f2d8a9d900b38cd682893356
748,FabAlley,1200.0,FabAlley Casual Sleeveless Printed Women's Top,1200.0,da099eac1f91547619fb01bd6864926e
749,FabAlley,900.0,FabAlley Casual Sleeveless Solid Women's Top,900.0,36ed4943e68d44f68602d312f9083c79
750,FabAlley,900.0,FabAlley Casual Sleeveless Solid Women's Top,900.0,0dedda7ff26f22ec7dff2dc7712d9532
751,The,909.0,The Vanca Formal Sleeveless Printed Women's Top,1299.0,d53950e4de3ad0da88b4ce441691a6d1
752,Zoysia,1595.0,Zoysia Casual 3/4 Sleeve Solid Women's Top,3190.0,56431aa8fe2f4480a1b3dd9265048102
753,Nell,699.0,Nell Women Heels,1485.0,1e14df21bfa67514770a3768f2832ac2
754,Anaya,699.0,Anaya Women Heels,1699.0,d97f1c3a785cd4c41b6c15da582f5a74
755,Bellafoz,499.0,Bellafoz Women Heels,999.0,e8303b453cace6277914b79775e58e8c
756,Bellafoz,499.0,Bellafoz Women Heels,999.0,e68fb21a3718a9d2918259e25940b327
757,Bellafoz,499.0,Bellafoz Women Heels,999.0,c6e7208c043a816c4a7b594f3db11a62
758,Klick2Style,606.0,Klick2Style Casual Sleeveless Solid Women's Top,1599.0,e340b4150a788654c4d4fbc1e514d03a
759,Ishtaa,7885.0,Ishtaa Gold Cubic Zirconia 18 K Ring,8300.0,abf5330730a4f3457d441af67cbcb97a
760,Vastra,797.0,Vastra Valley Girl's A-line Dress,850.0,77b5c9232b25d90bd1ee851ff667a122
